timestamp,lane_id,car_count,bus_count,truck_count,motorcycle_count,emergency_count
54,south,9,1,2,1,0
54,west,10,1,2,1,0
55,east,5,1,1,1,0
55,north,9,1,2,1,0
55,south,10,1,2,1,0
55,west,9,1,2,1,0
56,east,3,0,0,1,0
56,north,6,1,1,1,0
56,south,5,1,1,0,0
56,west,7,1,1,2,0
57,east,10,1,2,1,0
57,north,4,1,1,0,0
57,south,7,1,1,2,0
57,west,9,1,2,1,0
58,east,7,1,1,2,0
58,north,6,1,1,1,0
58,south,7,1,1,1,0
58,west,8,1,1,2,0
59,east,10,2,2,1,0
59,north,8,1,1,2,0
59,south,8,1,1,2,0
59,west,7,1,1,1,0
60,east,7,1,1,2,0
60,north,8,1,1,2,0
60,south,12,2,2,1,0
60,west,5,1,1,0,0
61,east,7,1,1,2,0
61,north,6,1,1,1,0
61,south,7,1,1,2,0
61,west,5,1,1,1,0
62,east,5,1,1,1,0
62,north,10,2,2,1,0
62,south,9,1,2,1,0
62,west,10,2,2,1,0
63,east,5,1,1,1,0
63,north,4,1,1,0,0
63,south,12,2,2,2,0
63,west,3,0,0,1,0
64,east,7,1,1,1,0
64,north,9,1,2,1,0
64,south,7,1,1,2,0
64,west,5,1,1,1,0
65,east,3,0,1,1,0
65,north,9,1,2,1,0
65,south,11,2,2,1,0
65,west,12,2,2,2,0
66,east,7,1,1,1,0
66,north,8,1,1,2,0
66,south,8,1,1,2,0
66,west,4,1,1,0,0
67,east,12,2,2,1,0
67,north,4,1,1,0,0
67,south,10,1,2,1,0
67,west,7,1,1,1,0
68,east,7,1,1,2,0
68,north,4,1,1,0,0
68,south,10,2,2,1,0
68,west,9,1,2,1,0
69,east,10,2,2,1,0
69,north,5,1,1,1,0
69,south,7,1,1,2,0
69,west,7,1,1,1,0
70,east,9,1,2,1,0
70,north,8,1,1,2,0
70,south,12,2,2,1,0
70,west,11,2,2,1,0
71,east,7,1,1,1,0
71,north,5,1,1,1,0
71,south,6,1,1,1,0
71,west,7,1,1,1,0
72,east,5,1,1,0,0
72,north,5,1,1,0,0
72,south,12,2,2,2,0
72,west,7,1,1,2,0
73,east,5,1,1,0,0
73,north,7,1,1,2,0
73,south,5,1,1,1,0
73,west,10,2,2,1,0
74,east,7,1,1,1,0
74,north,4,1,1,0,0
74,south,12,2,2,1,0
74,west,8,1,1,2,0
75,east,10,2,2,1,0
75,north,10,1,2,1,0
75,south,7,1,1,2,0
75,west,8,1,1,2,0
76,east,12,2,2,1,0
76,north,7,1,1,1,0
76,south,12,2,2,2,0
76,west,7,1,1,1,0
77,east,10,1,2,1,0
77,north,9,1,2,1,0
77,south,9,1,2,1,0
77,west,7,1,1,1,0
78,east,8,1,1,2,0
78,north,7,1,1,2,0
78,south,15,2,3,2,0
78,west,3,0,1,1,0
79,east,6,1,1,1,0
79,north,6,1,1,1,0
79,south,14,2,3,2,0
79,west,6,1,1,1,0
80,east,7,1,1,2,0
80,north,10,1,2,1,0
80,south,11,2,2,1,0
80,west,5,1,1,1,0
81,east,7,1,1,1,0
81,north,5,1,1,0,0
81,south,7,1,1,2,0
81,west,12,2,2,2,0
82,east,10,2,2,1,0
82,north,3,0,1,1,0
82,south,6,1,1,1,0
82,west,3,0,1,1,0
83,east,7,1,1,1,0
83,north,7,1,1,2,0
83,south,5,1,1,1,0
83,west,5,1,1,0,0
84,east,7,1,1,2,0
84,north,11,2,2,1,0
84,south,7,1,1,2,0
84,west,10,2,2,1,0
85,east,7,1,1,1,0
85,north,6,1,1,1,0
85,south,9,1,2,1,0
85,west,7,1,1,2,0
86,east,7,1,1,2,0
86,north,8,1,1,2,0
86,south,4,1,1,0,0
86,west,7,1,1,2,0
87,east,9,1,2,1,0
87,north,16,2,3,2,0
87,south,3,0,1,1,0
87,west,10,2,2,1,0
88,east,6,1,1,1,0
88,north,10,1,2,1,0
88,south,7,1,1,2,0
88,west,10,2,2,1,0
89,east,7,1,1,1,0
89,north,6,1,1,1,0
89,south,7,1,1,2,0
89,west,6,1,1,1,0
90,east,10,1,2,1,0
90,north,5,1,1,1,0
90,south,6,1,1,1,0
90,west,3,0,1,1,0
91,east,8,1,1,2,0
91,north,8,1,1,2,0
91,south,7,1,1,2,0
91,west,7,1,1,1,0
92,east,8,1,1,2,0
92,north,3,0,1,1,0
92,south,10,1,2,1,0
92,west,5,1,1,1,0
93,east,8,1,1,2,0
93,north,6,1,1,1,0
93,south,3,0,1,1,0
93,west,5,1,1,1,0
94,east,8,1,1,2,0
94,north,10,2,2,1,0
94,south,9,1,2,1,0
94,west,5,1,1,1,0
95,east,11,2,2,1,0
95,north,10,2,2,1,0
95,south,7,1,1,2,0
95,west,5,1,1,1,0
96,east,7,1,1,2,0
96,north,7,1,1,2,0
96,south,7,1,1,2,0
96,west,3,0,1,1,0
97,east,9,1,2,1,0
97,north,8,1,1,2,0
97,south,5,1,1,1,0
97,west,6,1,1,1,0
98,east,10,1,2,1,0
98,north,7,1,1,1,0
98,south,9,1,2,1,0
98,west,5,1,1,0,0
99,east,5,1,1,1,0
99,north,10,2,2,1,0
99,south,4,1,1,0,0
99,west,6,1,1,1,0
100,east,4,1,1,0,0
100,north,10,1,2,1,0
100,south,12,2,2,2,0
100,west,6,1,1,1,0
101,east,10,2,2,1,0
101,north,5,1,1,1,0
101,south,8,1,1,2,0
101,west,5,1,1,1,0
102,east,8,1,1,2,0
102,north,11,2,2,1,0
102,south,7,1,1,1,0
102,west,6,1,1,1,0
103,east,7,1,1,2,0
103,north,7,1,1,2,0
103,south,6,1,1,1,0
103,west,7,1,1,2,0
104,east,6,1,1,1,0
104,north,15,2,3,2,0
104,south,6,1,1,1,0
104,west,3,0,1,1,0
105,east,5,1,1,1,0
105,north,13,2,2,2,0
105,south,7,1,1,2,0
105,west,7,1,1,1,0
106,east,6,1,1,1,0
106,north,6,1,1,1,0
106,south,5,1,1,1,0
106,west,5,1,1,0,0
107,east,7,1,1,2,0
107,north,10,1,2,1,0
107,south,10,1,2,1,0
107,west,7,1,1,2,0
108,east,9,1,2,1,0
108,north,7,1,1,1,0
108,south,6,1,1,1,0
108,west,6,1,1,1,0
109,east,7,1,1,1,0
109,north,7,1,1,1,0
109,south,5,1,1,0,0
109,west,5,1,1,0,0
110,east,7,1,1,2,0
110,north,10,2,2,1,0
110,south,5,1,1,1,0
110,west,9,1,2,1,0
111,east,9,1,2,1,0
111,north,8,1,1,2,0
111,south,11,2,2,1,0
111,west,7,1,1,1,0
112,east,5,1,1,1,0
112,north,9,1,2,1,0
112,south,7,1,1,1,0
112,west,7,1,1,2,0
113,east,5,1,1,1,0
113,north,7,1,1,2,0
113,south,9,1,2,1,0
113,west,6,1,1,1,0
114,east,5,1,1,1,0
114,north,7,1,1,1,0
114,south,10,1,2,1,0
114,west,7,1,1,2,0
115,east,8,1,1,2,0
115,north,6,1,1,1,0
115,south,11,2,2,1,0
115,west,6,1,1,1,0
116,east,3,0,1,1,0
116,north,7,1,1,2,0
116,south,10,2,2,1,0
116,west,8,1,1,2,0
117,east,3,0,0,1,0
117,north,5,1,1,0,0
117,south,7,1,1,2,0
117,west,9,1,2,1,0
118,east,9,1,2,1,0
118,north,3,0,1,1,0
118,south,8,1,1,2,0
118,west,7,1,1,2,0
119,east,3,0,0,1,0
119,north,7,1,1,1,0
119,south,7,1,1,2,0
119,west,5,1,1,0,0
